chr1	117600000	131500000
chr10	35300000	45600000
chr11	47900000	59900000
chr12	29700000	40000000
chr13	10000000	21900000
chr14	10100000	22600000
chr15	10600000	21900000
chr16	30900000	44200000
chr17	18600000	26700000
chr18	11900000	20800000
chr19	23200000	33700000
chr2	87500000	99200000
chr20	22200000	31900000
chr21	6500000	16700000
chr22	6100000	19800000
chr3	85900000	96700000
chr4	45200000	55900000
chr5	42300000	54000000
chr6	54900000	66900000
chr7	53900000	64600000
chr8	39700000	51600000
chr9	43200000	63800000
chrX	53100000	68500000
chrY	7700000	16000000
