chr1	118000000	132400000
chr10	34500000	45800000
chr11	48100000	59200000
chr12	29800000	41700000
chr13	12800000	23000000
chr14	12600000	22600000
chr15	12300000	24200000
chr16	31100000	42100000
chr17	18700000	29300000
chr18	11900000	22500000
chr19	20900000	32100000
chr2	87000000	100300000
chr20	22100000	32900000
chr21	7400000	17800000
chr22	8700000	21400000
chr3	84400000	97400000
chr4	44700000	56200000
chr5	42600000	54200000
chr6	55200000	66800000
chr7	54500000	65200000
chr8	39600000	51600000
chr9	43800000	54200000
chrX	54600000	66500000
chrY	8100000	16900000
